yeast high,yeast low
GO:0006415,GO:0032543
GO:0002181,GO:0140053
GO:0042274,GO:0006415
GO:0006364,GO:0002181
GO:0009451,GO:0006412
GO:0043043,GO:0043043
GO:0006412,GO:0043624
GO:0042254,GO:0043604
GO:0043604,GO:0032984
GO:0006518,GO:0006518
GO:0034470,GO:0042273
GO:0043603,GO:0000462
GO:0016072,GO:0043603
GO:0022613,GO:0042274
GO:0034660,GO:0006364
GO:1901566,GO:0042254
GO:0006396,GO:0016072
GO:0010467,GO:1901566
GO:0044271,GO:0034470
GO:0043933,GO:0034660
GO:0034645,GO:0022411
GO:0009059,GO:0022613
GO:0009058,GO:0019752
GO:0044249,GO:0044271
GO:1901576,GO:0006082
GO:0044085,GO:0043436
GO:0034641,GO:0034645
GO:0048518,GO:0009059
GO:0048522,GO:0044249
GO:0016192,GO:0010467
GO:0019941,GO:0009058
GO:0006511,GO:1901576
GO:0070647,GO:0034641
GO:0061919,GO:1901564
GO:0051130,GO:0006807
GO:0007034,GO:0044238
GO:0016567,GO:0071704
GO:0010638,GO:0044237
GO:0072666,GO:0008152
GO:0072665,GO:0051179
GO:0006623,GO:0051234
GO:0016482,GO:0006810
GO:0016237,GO:0006811
GO:0032258,GO:0006820
GO:0000209,GO:0033036
GO:0044804,GO:0051641
GO:0034727,GO:0071705
,GO:0008104
,GO:0051649
,GO:0046907
,GO:0042886
,GO:0045184
,GO:0015031
,GO:0015833
,GO:0006508
,GO:0044257
,GO:0030163
,GO:0043632
,GO:0051603
,GO:0006397
,GO:0019941
,GO:0006511
,GO:0006914
,GO:0043161
,GO:0061919
,GO:0048193
,GO:0016192
,GO:0006897
,GO:0006892
,GO:0034976
,GO:0016050
,GO:0007034
,GO:0016197
,GO:0072665
,GO:0140056
,GO:0032258
,GO:0022406
,GO:0072666
,GO:0045324
,GO:0048278
,GO:0042147
,GO:0006623
,GO:0016482
,GO:0006895
,GO:0034067
,GO:0045053
,GO:0006314
,GO:0070676
