FLY OLD,FLY YOUNG
GO:0046835,GO:0048511
GO:0008361,GO:0007623
GO:0042752,GO:0006096
GO:0006474,GO:0046939
GO:0090307,GO:0006120
GO:0010569,GO:0015740
GO:0006096,GO:0010821
GO:0046939,GO:0006536
GO:0030100,GO:0006835
GO:0000018,GO:0015807
GO:0006639,GO:0045116
GO:0006638,GO:0045017
GO:0008360,GO:0032543
GO:1902476,GO:0006865
GO:0006821,GO:0000470
GO:0006865,GO:0008654
GO:0045017,GO:0090150
GO:0006006,GO:0042273
GO:0051052,GO:0006612
GO:0030968,GO:0000381
GO:0046942,GO:0000380
GO:0015849,GO:1903825
GO:0008654,GO:1905039
GO:0000462,GO:0046942
GO:0016051,GO:0015849
GO:0006820,GO:0042158
GO:0098656,GO:0006497
GO:0046486,GO:0070585
GO:0042273,GO:0072655
GO:0015711,GO:0007163
GO:0006457,GO:0006626
GO:0016072,GO:0072657
GO:0005975,GO:0006839
GO:0006364,GO:0015711
GO:0071310,GO:0006364
GO:0042254,GO:0016072
GO:0034660,GO:0098656
GO:0007049,GO:0006066
GO:0048285,GO:0006644
GO:0000280,GO:0071900
GO:0030154,GO:0042254
GO:0022402,GO:0006749
GO:0000278,GO:0006820
GO:1903047,GO:1903311
GO:0140014,GO:0016311
GO:0043254,GO:0006790
GO:0044087,GO:0006605
GO:0051258,GO:0019637
GO:0050907,GO:0055114
GO:0050906,GO:0022613
GO:0009593,GO:0051186
,GO:0090407
,GO:0019693
,GO:0009259
,GO:0034470
,GO:0006796
,GO:0006518
,GO:0006793
,GO:0043603
,GO:1901566
,GO:0044085
,GO:1901564
,GO:0031326
,GO:0009889
,GO:2000112
,GO:0010556
,GO:0006355
,GO:1903506
,GO:2001141
,GO:0048518
,GO:0006357
,GO:0048856
,GO:0032502
,GO:0031324
,GO:0048869
,GO:0051172
,GO:0048731
,GO:0051276
,GO:0030154
,GO:0045944
,GO:1903507
,GO:0045892
,GO:1902679
,GO:0010558
,GO:2000113
,GO:0051253
,GO:0009890
,GO:0031327
,GO:0022008
,GO:0045934
,GO:0016570
,GO:0016569
,GO:0050907
,GO:0050906
,GO:0009593
,GO:0006399
,GO:0071103
